Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda=delta/(r+l),Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
10000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,3810000000.0,24199.51304,3.71,41.7,0.00639,0.0689,17.6,0.473,3.56,0.458,0.696,44.5,5.4e-06,5.4e-06,1.1e-10,3.73e-05,3.73e-05,4.94e-10,0.145,0.222,0.145,27898aff
20000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,7620000000.0,48399.02607,7.418116251,51.3,0.00786,0.0424,13.4,0.36,5.35,0.681,1.04,102.0,3.74e-06,3.74e-06,3.32e-11,3.23e-05,3.23e-05,1.42e-10,0.116,0.233,0.116,2eaa7eff
40000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,15200000000.0,96798.05214,14.8362325,58.5,0.00897,0.0242,12.3,0.33,7.5,0.948,1.46,200.0,5.18e-06,5.18e-06,6.9e-11,3.59e-05,3.59e-05,2.91e-10,0.144,0.237,0.144,68c85cff
100.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,38100000.0,314.9936614,0.0370905809999999,6.97,0.00082,0.885,76.8,2.07,0.131,0.0186,0.0255,0.0531,3.29e-06,3.29e-06,9.72e-13,8.8e-06,8.8e-06,4.17e-12,0.374,0.233,0.374,03a0ffff
300.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,114000000.0,944.9809839,0.111271744,18.3,0.00216,0.775,37.8,1.02,0.383,0.0539,0.0747,0.471,5.93e-06,5.93e-06,8.48e-12,3.1e-05,3.1e-05,3.75e-11,0.191,0.226,0.191,03a0ffff
500.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,191000000.0,1574.968307,0.185452906,30.8,0.00363,0.782,24.4,0.656,0.685,0.101,0.134,1.46,8.83e-06,8.83e-06,2.43e-11,4.57e-05,4.57e-05,9.33e-11,0.193,0.261,0.193,03a0ffff
1000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,381000000.0,3149.936614,0.3709058129999999,45.7,0.00538,0.581,17.6,0.475,1.18,0.173,0.23,4.43,5.51e-06,5.51e-06,9.11e-12,3.29e-05,3.29e-05,3.51e-11,0.168,0.259,0.168,440558ff
2000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,762000000.0,6299.873228,0.7418116249999999,56.3,0.00663,0.357,14.6,0.393,1.81,0.265,0.354,10.9,6.19e-06,6.19e-06,2.25e-11,4e-05,4e-05,8.88e-11,0.155,0.253,0.155,43347dff
3000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,1140000000.0,9449.809839,1.112717437,40.2,0.00473,0.17,20.4,0.55,1.73,0.236,0.338,11.0,4.41e-06,4.41e-06,2.4e-11,2.6e-05,2.6e-05,1.15e-10,0.169,0.208,0.169,3e4986ff
5000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.1,10.0,3.15,1.0,3.15,0.0223,8490.0,1910000000.0,15749.68307,1.854529062,44.8,0.00527,0.114,17.8,0.478,2.31,0.3,0.451,18.6,4.97e-06,4.97e-06,4.44e-11,3.03e-05,3.03e-05,2.01e-10,0.164,0.22,0.164,2f6a8dff
