Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
300.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,331000000.0,300.0025128,0.0973253639999999,6.42,0.00208,0.856,63.8,1.86,0.254,0.0328,0.0461,0.283,3.06e-06,3.06e-06,2.43e-11,7.5e-06,7.5e-06,1.35e-10,0.408,0.18,0.408,03a0ffff
500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,552000000.0,500.004188,0.16220894,9.82,0.00318,0.785,41.9,1.22,0.417,0.0534,0.0756,0.776,4.65e-06,4.65e-06,6.56e-11,2.02e-05,2.02e-05,3.67e-10,0.231,0.179,0.231,03a0ffff
750.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,829000000.0,750.006282,0.243313409,9.01,0.00292,0.481,44.8,1.31,0.514,0.0646,0.0933,1.18,4.16e-06,4.15e-06,9.69e-11,1.52e-05,1.52e-05,5.58e-10,0.274,0.174,0.274,44075aff
1000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,1100000000.0,1000.008376,0.324417879,9.93,0.00322,0.397,41.5,1.21,0.613,0.0759,0.111,1.65,2.35e-06,2.35e-06,1.67e-11,1.01e-05,1.01e-05,9.12e-11,0.234,0.184,0.234,43226fff
2000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,2210000000.0,2000.016752,0.648835758,11.6,0.00377,0.233,33.2,0.966,0.958,0.115,0.174,1.92e-07,2.97e-06,2.97e-06,4.2e-11,1.83e-05,1.83e-05,2.21e-10,0.162,0.19,0.162,345f8bff
3000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,3310000000.0,3000.025128,0.973253637,14.8,0.00479,0.197,27.6,0.804,1.23,0.144,0.223,6.7,3.61e-06,3.61e-06,7.41e-11,2.71e-05,2.71e-05,3.99e-10,0.133,0.186,0.133,2b798cff
5000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,5520000000.0,5000.04188,1.622089396,18.5,0.00602,0.148,20.4,0.594,1.83,0.218,0.332,15.3,5.04e-06,5.04e-06,1.65e-10,3.54e-05,3.54e-05,8.54e-10,0.142,0.193,0.142,229d87ff
10000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,11000000000.0,10000.08376,3.244178792,25.6,0.00829,0.102,17.2,0.501,2.79,0.327,0.506,35.1,7.81e-06,7.81e-06,3.87e-10,4.88e-05,4.88e-05,2.01e-09,0.16,0.192,0.16,69c85bff
12000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,13300000000.0,12000.10051,3.89301455,27.8,0.00901,0.0925,15.5,0.451,3.17,0.369,0.575,44.7,9.07e-06,9.07e-06,4.89e-10,5.74e-05,5.74e-05,2.51e-09,0.158,0.195,0.158,8fd549ff
20000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,22100000000.0,20000.16752,6.488357583,38.0,0.0123,0.0759,11.2,0.325,4.37,0.531,0.793,104.0,8.88e-06,8.88e-06,1.43e-10,5.97e-05,5.97e-05,8.09e-10,0.149,0.177,0.149,eee42aff
